site,Sx,Sy,Sz
0,2.882042030759349e-14,0.0,-4.4825254619240695e-14
1,-1.9004249859118785e-14,0.0,3.0003777240494856e-14
2,9.928476566287658e-16,0.0,5.551115123125783e-17
3,-6.498925816587348e-16,0.0,-2.7755575615628914e-16
4,4.1591137224289725e-16,0.0,6.661338147750939e-16
5,-6.139611657092659e-17,0.0,-1.1102230246251565e-16
6,-3.6694025046451227e-16,0.0,3.1363800445660672e-15
7,2.3064398530069697e-16,0.0,-2.275957200481571e-15
8,5.815906642916088e-15,0.0,-6.966649479522857e-15
9,-6.0117547505941115e-15,0.0,9.076073226310655e-15
10,3.0185236859348322e-15,0.0,-3.2751579226442118e-15
11,-3.104683656743011e-15,0.0,3.497202527569243e-15
12,-7.983224396296084e-16,0.0,2.7755575615628914e-16
13,1.769313209528285e-15,0.0,-7.771561172376096e-16
14,-1.7655496613422663e-15,0.0,1.0269562977782698e-15
15,2.864134198214679e-15,0.0,-1.6930901125533637e-15
