site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,1,-0.2181197137055278,-0.21811971370425762,-0.21811971370425762,0j,0j,0.0,0.0,0j,0j
0,2,-0.23602167213746508,0.10144742896043196,0.10144742896043196,0j,0j,0.0,0.0,0j,0j
0,3,0.0712281880316602,0.05019809979715947,0.05019809979715947,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
0,4,-0.11929482271267881,-0.08536036231321675,-0.08536036231321675,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
0,5,0.030289678460372997,0.025762558322155522,0.025762558322155522,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
0,6,0.0035657151140818344,-0.03018348936250894,-0.03018348936250894,3.469446951953614e-18j,-3.469446951953614e-18j,0.0,0.0,0j,0j
0,7,0.004720063328812435,0.02831230302373118,0.02831230302373118,-1.0408340855860843e-17j,1.0408340855860843e-17j,0.0,0.0,0j,0j
0,8,0.02490798686096813,0.024727293362018912,0.024727293362018912,8.673617379884035e-18j,-8.673617379884035e-18j,0.0,0.0,0j,0j
0,9,-0.019240781919929135,0.0017040295435883268,0.0017040295435883268,2.0599841277224584e-18j,-2.0599841277224584e-18j,0.0,0.0,0j,0j
0,10,0.03595644498795181,0.032586628953898425,0.032586628953898425,-3.469446951953614e-18j,3.469446951953614e-18j,0.0,0.0,0j,0j
0,11,0.014202145258733298,0.014155267709832645,0.014155267709832645,0j,0j,0.0,0.0,0j,0j
0,12,0.001788968633184003,-0.015464879744996385,-0.015464879744996385,-2.6020852139652106e-18j,2.6020852139652106e-18j,0.0,0.0,0j,0j
0,13,0.009293573769238223,0.009293573417066138,0.009293573417066138,-8.673617379884035e-19j,8.673617379884035e-19j,0.0,0.0,0j,0j
0,14,0.001332229310776015,0.0008141449916936134,0.0008141449916936134,-3.7947076036992655e-19j,3.7947076036992655e-19j,0.0,0.0,0j,0j
0,15,0.001332229310776015,0.0008141449916936134,0.0008141449916936134,-3.7947076036992655e-19j,3.7947076036992655e-19j,0.0,0.0,0j,0j
1,2,-0.23602167213746508,0.10144742896043196,0.10144742896043196,0j,0j,0.0,0.0,0j,0j
1,3,0.0712281880316602,0.05019809979715947,0.05019809979715947,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
1,4,-0.11929482271267881,-0.08536036231321675,-0.08536036231321675,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
1,5,0.030289678460372997,0.025762558322155522,0.025762558322155522,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
1,6,0.0035657151140818344,-0.03018348936250894,-0.03018348936250894,3.469446951953614e-18j,-3.469446951953614e-18j,0.0,0.0,0j,0j
1,7,0.004720063328812435,0.02831230302373118,0.02831230302373118,-1.0408340855860843e-17j,1.0408340855860843e-17j,0.0,0.0,0j,0j
1,8,0.02490798686096813,0.024727293362018912,0.024727293362018912,8.673617379884035e-18j,-8.673617379884035e-18j,0.0,0.0,0j,0j
1,9,-0.019240781919929135,0.0017040295435883268,0.0017040295435883268,2.0599841277224584e-18j,-2.0599841277224584e-18j,0.0,0.0,0j,0j
1,10,0.03595644498795181,0.032586628953898425,0.032586628953898425,-3.469446951953614e-18j,3.469446951953614e-18j,0.0,0.0,0j,0j
1,11,0.014202145258733298,0.014155267709832645,0.014155267709832645,0j,0j,0.0,0.0,0j,0j
1,12,0.001788968633184003,-0.015464879744996385,-0.015464879744996385,-2.6020852139652106e-18j,2.6020852139652106e-18j,0.0,0.0,0j,0j
1,13,0.009293573769238223,0.009293573417066138,0.009293573417066138,-8.673617379884035e-19j,8.673617379884035e-19j,0.0,0.0,0j,0j
1,14,0.001332229310776015,0.0008141449916936134,0.0008141449916936134,-3.7947076036992655e-19j,3.7947076036992655e-19j,0.0,0.0,0j,0j
1,15,0.001332229310776015,0.0008141449916936134,0.0008141449916936134,-3.7947076036992655e-19j,3.7947076036992655e-19j,0.0,0.0,0j,0j
2,3,0.0712281880316602,0.05019809979715947,0.05019809979715947,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
2,4,-0.11929482271267881,-0.08536036231321675,-0.08536036231321675,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
2,5,0.030289678460372997,0.025762558322155522,0.025762558322155522,6.938893903907228e-18j,-6.938893903907228e-18j,0.0,0.0,0j,0j
2,6,0.0035657151140818344,-0.03018348936250894,-0.03018348936250894,3.469446951953614e-18j,-3.469446951953614e-18j,0.0,0.0,0j,0j
