site,Sx,Sy,Sz
0,-0.017807417817615873,0j,-0.1263338932831516
1,0.011273760490080793,0j,0.07998116679470095
2,-0.02120638322564573,0j,-0.15044769448274795
3,0.014848164584556917,0j,0.10533960955419512
4,-0.023149578937667004,0j,-0.16423360562519013
5,0.016622609607888687,0j,0.11792832682418423
6,-0.024063304730138478,0j,-0.17071599054710015
7,0.01717657965460648,0j,0.12185844142491672
8,-0.024063304730137784,0j,-0.17071599054710185
9,0.01662260960787198,0j,0.11792832682418562
10,-0.023149578937644792,0j,-0.16423360562519213
11,0.01484816458454168,0j,0.10533960955419666
12,-0.021206383225637556,0j,-0.15044769448276255
13,0.011273760490070126,0j,0.07998116679470385
14,-0.017807417817599924,0j,-0.1263338932831567
