site,Sx,Sy,Sz
0,0.0,0.0,-7.814800851768461e-14
1,0.0,0.0,5.374825763603934e-14
2,0.0,0.0,1.4690643330981475e-15
3,0.0,0.0,-1.16625392738501e-15
4,0.0,0.0,-3.608224830031759e-16
5,0.0,0.0,0.0
6,0.0,0.0,-3.885780586188048e-16
7,0.0,0.0,5.551115123125783e-16
8,0.0,0.0,-1.7486012637846216e-15
9,0.0,0.0,1.8041124150158794e-15
10,0.0,0.0,1.6653345369377348e-16
11,0.0,0.0,8.326672684688674e-17
12,0.0,0.0,-8.423005200402955e-16
13,0.0,0.0,1.1173622959587846e-15
14,0.0,0.0,1.3621123846453855e-16
15,0.0,0.0,-2.2194126433999376e-16
