node1,node2,entanglement,fidelity,error
0,24,0.9885241407963575,0.0,0.0
1,24,0.9523854223757837,0.0,0.0
2,25,0.9878946216696647,0.0,0.0
3,26,0.7257452402246849,0.0,0.0
4,27,0.32650147304791344,0.0,0.0
5,28,0.11549476063042545,0.0,0.0
6,29,0.03696435670627496,0.0,0.0
7,29,0.01122526326611385,0.0,0.0
8,32,0.994199359096571,0.0,0.0
9,32,0.9589712341362828,0.0,0.0
10,33,0.9533135095641359,0.0,0.0
11,33,0.8020919735049754,0.0,0.0
12,37,0.4394339046117457,0.0,0.0
13,35,0.1686205129113912,0.0,0.0
14,36,0.05586822930843659,0.0,0.0
15,36,0.017265992699764473,0.0,0.0
16,39,0.9522654329381323,0.0,0.0
17,38,0.9250128891229339,0.0,0.0
18,41,0.9946219545411028,0.0,0.0
19,42,0.7438302080281061,0.0,0.0
20,43,0.3308181565511939,0.0,0.0
21,44,0.11688061017804334,0.0,0.0
22,45,0.03740594198181842,0.0,0.0
23,45,0.011361678232447273,0.0,0.0
24,30,1.8625992524621662,0.9907347586368309,0.009265241363169308
25,30,1.6194649611790328,0.9907347586368314,0.009265241363167864
25,26,0.9095445233445881,0.9907347586368334,0.00926524136316842
26,27,0.4009005334847538,0.9907347586368325,0.009265241363167531
27,28,0.1433170555002416,0.9907347586368327,0.009265241363168197
28,29,0.04460504545680185,0.990734758636832,0.009265241363168086
30,34,3.2090720980981873,0.9907347586368309,0.009265241363169086
31,34,3.3231713485585654,0.9907347586368097,0.009265241363190513
31,32,1.922366276711495,0.9907347586368102,0.009265241363191734
31,33,1.6886036006651879,0.990734758636809,0.009265241363191068
34,40,3.6019135931253237,0.9998467263538323,0.00015327364616724015
44,45,0.04513140908192343,0.9998467263538316,0.00015327364617023775
43,44,0.14496025380608052,0.9998467263538303,0.00015327364616957162
42,43,0.4052930578827862,0.9998467263538294,0.00015327364617068184
41,42,0.9234530291427631,0.9998467263538303,0.00015327364616979366
40,41,1.6164224423513047,0.9998467263538312,0.00015327364616923855
39,40,2.358130956438556,0.9998467263538305,0.00015327364617134798
38,39,1.4640191384023507,0.9998467263538294,0.00015327364617079287
37,38,0.5478602607744902,0.9998467263538305,0.0001532736461710149
35,36,0.06725346603682177,0.9998467263538288,0.00015327364617057082
35,37,0.20876534936524546,0.9998467263538299,0.00015327364617023775
