site,Sx,Sy,Sz
0,1.2940613119201696e-15,9.860761315262648e-32j,9.112974264091633e-11
1,-6.623634599205074e-16,4.930380657631324e-32j,2.1780521830550015e-11
2,-2.818457298799484e-16,0j,3.489952771218441e-11
3,-7.900173907497944e-16,-8.58251082596515e-26j,7.23248960721179e-11
4,-3.244215051383571e-16,-1.6543612251060553e-24j,2.669870435845212e-10
5,9.393865103256934e-16,5.0145028124118294e-26j,-9.065934114538265e-11
6,8.52592171311689e-16,-4.1359030627651384e-25j,3.2725597232108328e-09
7,-3.072376862921496e-15,-5.470750377707717e-27j,-2.0319995686080006e-11
8,9.281931563033004e-16,3.091091146207419e-20j,1.0049822085633764e-11
9,1.457384560255015e-15,0j,-4.3058612231305915e-11
10,-3.1144475673621264e-15,-6.999716468759182e-20j,-4.3116898940098736e-12
11,3.398323289438565e-15,0j,-1.6814771797157846e-11
12,-8.163928076929677e-16,-1.285227353177838e-19j,-4.266864639390633e-13
13,-6.434523053266972e-15,4.336808689942018e-19j,-9.151568391985165e-13
14,8.231045968168607e-16,-3.944304526105059e-31j,-3.195638198505435e-13
15,-2.3520073750753395e-14,0j,-1.0260681193585697e-12
