node1,node2,entanglement,error,bond
0,24,0.9886640190101934,0.0,2
1,24,0.9524424245804181,0.0,2
2,26,0.988349790709135,0.0,2
3,27,0.7285140164878567,0.0,2
4,28,0.3280590073795766,0.0,2
5,29,0.11611755312238306,0.0,2
6,30,0.037175306389517895,0.0,2
7,30,0.011291460055475506,0.0,2
8,33,0.9943738676063143,0.0,2
9,32,0.9590640697728986,0.0,2
10,34,0.9550179677682042,0.0,2
11,34,0.8044024847861826,0.0,2
12,31,0.4397941085115797,0.0,2
13,31,0.16910770677895023,0.0,2
14,37,0.05607023388443433,0.0,2
15,37,0.0173331177436257,0.0,2
16,38,0.9522687079686929,0.0,2
17,39,0.9250536717647343,0.0,2
18,41,0.9946242218039101,0.0,2
19,42,0.7438694471552902,0.0,2
20,43,0.33087125526268935,0.0,2
21,44,0.1169097223482736,0.0,2
22,45,0.03741647439617773,0.0,2
23,45,0.011365036441748617,0.0,2
24,25,1.8635868305092311,-1.3322676295501878e-15,4
25,26,1.623199547690892,1.1102230246251565e-16,10
26,27,0.9131669354718024,7.771561172376096e-16,8
27,28,0.40275269802289687,-1.7763568394002505e-15,6
28,29,0.14407688988265652,-2.220446049250313e-16,5
29,30,0.04485775154470649,-6.661338147750939e-16,4
25,36,3.214963651071648,0.0,20
32,33,1.473111607906569,2.220446049250313e-16,8
33,35,2.417514625969739,5.551115123125783e-16,16
34,35,1.6929890695012728,7.771561172376096e-16,4
31,32,0.5259632947225379,5.551115123125783e-16,4
44,45,0.04514411654334395,-1.7763568394002505e-15,4
43,44,0.14499715158979495,7.771561172376096e-16,5
42,43,0.40537021176661203,-2.220446049250313e-16,6
41,42,0.9235676150026929,-2.220446049250313e-16,8
40,41,1.616574185062472,-4.440892098500626e-16,10
38,40,1.9060891265573445,-1.3322676295501878e-15,16
38,39,0.9914771801037162,4.440892098500626e-16,8
37,39,0.06749772221467232,1.1102230246251565e-16,4
36,40,3.2255277893311103,-6.661338147750939e-16,45
35,36,3.3253986997040803,4.440892098500626e-16,23
