site,Sx,Sy,Sz
0,-2.480654570646834e-16,0j,1.5126788710517758e-15
1,2.220446049250313e-16,0j,-1.2732870313669764e-15
2,-6.036837696399289e-16,0j,1.124100812432971e-15
3,5.707240235963695e-16,0j,-7.147060721024445e-16
4,-2.671474153004283e-16,0j,-5.273559366969494e-16
5,3.226585665316861e-16,0j,2.463307335887066e-16
6,-1.2912847874302358e-16,0j,-4.63155582679578e-15
7,1.3335686721571705e-16,0j,3.8532435095851685e-15
8,-7.415075498062862e-15,0j,-9.38832345198648e-15
9,7.729060447214664e-15,0j,9.56179579958416e-15
10,-2.498001805406602e-16,0j,2.1337098754514727e-16
11,3.469446951953614e-16,0j,2.1337098754514727e-16
12,-2.185751579730777e-16,0j,-1.925543058334256e-15
13,4.128641872824801e-16,0j,2.0573820425084932e-15
14,-1.441598576623626e-14,0j,-4.97837448348859e-14
15,2.5022518779227454e-14,0j,7.091961566618732e-14
