site1,site2,SxSx,SySy,SzSz,SySz,SzSy,SzSx,SxSz,SxSy,SySx
0,1,-0.21811901870259623,-0.21811901870259623,-0.2181190187025962,0.0,0.0,-2.0307487809293938e-16,2.0643026665141408e-16,0.0,0.0
0,2,0.06629429503697835,0.06629429503697835,0.06629429503697824,0.0,0.0,-1.4972357663574354e-15,1.5147930652881225e-15,0.0,0.0
0,3,-0.07289452388123863,-0.07289452388123863,-0.0728945238812388,0.0,0.0,3.405587443994218e-15,-3.4208746946262636e-15,0.0,0.0
0,4,0.03682083430926289,0.03682083430926292,0.0368208343092628,0.0,0.0,1.2241320153719149e-15,-1.189302020580818e-15,0.0,0.0
0,5,-0.04240098513906016,-0.04240098513906019,-0.042400985139060376,0.0,0.0,-2.145961360000559e-15,2.0897454773571855e-15,0.0,0.0
0,6,0.02479238412046521,0.024792384120465135,0.024792384120465135,0.0,0.0,-1.1821191811881016e-17,-2.2426044311504856e-17,0.0,0.0
0,7,-0.029344155501344428,-0.029344155501344373,-0.029344155501344338,0.0,0.0,-6.290744292668238e-17,8.595012722378836e-17,0.0,0.0
0,8,0.018206249541292217,0.018206249541292085,0.018206249541292158,0.0,0.0,4.841775851777141e-16,-6.060148043107727e-16,0.0,0.0
0,9,-0.022161672772306015,-0.022161672772305935,-0.022161672772305976,0.0,0.0,-7.594836218260959e-16,8.332906847180466e-16,0.0,0.0
0,10,0.013906818943460924,0.013906818943460944,0.01390681894346079,0.0,0.0,7.416789892748105e-17,-2.575928836553998e-16,0.0,0.0
0,11,-0.017574078796064353,-0.017574078796064332,-0.017574078796064287,0.0,0.0,-1.8649632619466283e-16,3.061515884555943e-16,0.0,0.0
0,12,0.010594456918795448,0.010594456918795415,0.010594456918795351,0.0,0.0,-1.4749384710539132e-17,-1.0377847669759688e-17,0.0,0.0
0,13,-0.014221322433989797,-0.01422132243398976,-0.01422132243398979,0.0,0.0,3.524504093525144e-18,2.1449415323320647e-17,0.0,0.0
0,14,0.00731452814701249,0.007314528147012486,0.007314528147012448,0.0,0.0,3.861623206532355e-18,-2.9718150954417127e-18,0.0,0.0
0,15,-0.011213810740494854,-0.01121381074049484,-0.011213810740494979,0.0,0.0,-4.258881658794622e-18,1.462614141671363e-17,0.0,0.0
1,2,-0.09770081685083623,-0.09770081685083623,-0.09770081685083618,0.0,0.0,9.602439828525211e-16,-9.725022436651853e-16,0.0,0.0
1,3,0.05530177378604253,0.055301773786042535,0.0553017737860425,0.0,0.0,-1.7607985382250835e-15,1.7686590039756034e-15,0.0,0.0
1,4,-0.030206822478708217,-0.030206822478708255,-0.030206822478708387,0.0,0.0,-7.237998178241667e-16,7.025291264527167e-16,0.0,0.0
1,5,0.029498892440151806,0.02949889244015183,0.029498892440151837,0.0,0.0,1.2397580791828622e-15,-1.2146587988898228e-15,0.0,0.0
1,6,-0.01783241703514688,-0.017832417035146826,-0.01783241703514666,0.0,0.0,-5.21772295508649e-19,1.3684664295840476e-17,0.0,0.0
1,7,0.01974754866080208,0.01974754866080204,0.019747548660801903,0.0,0.0,4.355951634549965e-17,-5.629719780630982e-17,0.0,0.0
1,8,-0.012453762421924223,-0.012453762421924135,-0.012453762421924133,0.0,0.0,-2.8795393261678293e-16,3.8132406845851896e-16,0.0,0.0
1,9,0.014675837621173877,0.014675837621173816,0.014675837621173854,0.0,0.0,4.583329158910909e-16,-5.193125118298225e-16,0.0,0.0
1,10,-0.009286484661191988,-0.009286484661192002,-0.00928648466119186,0.0,0.0,-4.636997166448942e-17,1.7156313533456952e-16,0.0,0.0
1,11,0.011537996657631265,0.011537996657631252,0.011537996657631184,0.0,0.0,1.140241872275849e-16,-2.0196653594331537e-16,0.0,0.0
1,12,-0.00698376315350122,-0.006983763153501194,-0.006983763153501256,0.0,0.0,8.890457814381136e-18,6.4374503991326826e-18,0.0,0.0
1,13,0.00929407576954143,0.009294075769541402,0.009294075769541412,0.0,0.0,-1.4729902952752283e-18,-1.613936577698344e-17,0.0,0.0
1,14,-0.004787566439339238,-0.004787566439339232,-0.004787566439339239,0.0,0.0,-1.734723475976807e-18,2.9709680624944584e-18,0.0,0.0
1,15,0.007314528147327302,0.007314528147327288,0.007314528147327248,0.0,0.0,2.772338836363325e-18,-1.1136365674025914e-17,0.0,0.0
2,3,-0.18957911085514095,-0.18957911085514095,-0.18957911085514106,0.0,0.0,7.88831958442367e-15,-7.883779761462029e-15,0.0,0.0
2,4,0.06242008263148665,0.062420082631486684,0.06242008263148676,0.0,0.0,1.2636918421404797e-15,-1.2327243175888625e-15,0.0,0.0
2,5,-0.06694984134912207,-0.06694984134912207,-0.06694984134912202,0.0,0.0,-2.5096569787608214e-15,2.4850997995540247e-15,0.0,0.0
