node1,node2,energy,entanglement,error
0,15,0.0,0.9525100596922625,0.0
1,15,0.0,0.9810927286444013,0.0
2,16,0.0,0.932328127891715,0.0
3,17,0.0,0.9670953940408172,0.0
4,18,0.0,0.9191032663157997,0.0
5,19,0.0,0.9586793287865434,0.0
6,20,0.0,0.9124517822810787,0.0
7,21,0.0,0.9558499282617123,0.0
8,22,0.0,0.912451782281076,0.0
9,23,0.0,0.9586793287865406,0.0
10,24,0.0,0.9191032663158187,0.0
11,25,0.0,0.9670953940407852,0.0
12,26,0.0,0.9323281278917168,0.0
13,27,0.0,0.9810927286443886,0.0
14,27,0.0,0.952510059692226,0.0
15,16,-6.416920491793634,0.589703179695804,1.1102230246251565e-16
16,17,-6.416920491793632,0.9479918592037301,3.3306690738754696e-16
17,18,-6.416920491793628,0.7483837152611363,-2.220446049250313e-16
18,19,-6.416920491793635,0.9267115423922394,0.0
19,20,-6.416920491793624,0.8336666753419081,-2.4424906541753444e-15
20,21,-6.416920491793649,0.8891879089354854,1.3322676295501878e-15
26,27,-6.416920491793629,0.5897031796959029,-2.220446049250313e-16
25,26,-6.416920491793633,0.9479918592037332,-2.220446049250313e-16
24,25,-6.416920491793626,0.7483837152610895,6.661338147750939e-16
23,24,-6.416920491793634,0.9267115423922764,6.661338147750939e-16
22,23,-6.416920491793642,0.8336666753419194,-8.881784197001252e-16
21,22,-6.416920491793637,0.8891879089354721,1.1102230246251565e-16
