site1,site2,SxSx,SySy,SzSz,SySz,SzSy,SzSx,SxSz,SxSy,SySx
0,1,0.08196807376618134,-0.045728798756657835,0.07155530678070166,-0.03719682620423287,0.08838323102780038,0.06249861088238348,0.0813110556013926,0.09714575290649034,-0.02619793629856822
0,2,-0.03286503146579893,-0.084768355116661,0.10702869129039583,-0.12402464993769811,0.23657798952250575,0.0702853624143405,0.1260366147491203,0.2861910145218297,-0.028222287728058085
0,3,-0.08233323724471732,-0.03660810516095296,0.027197805454704228,-0.012795800085123748,0.1182225883786433,-0.05082160803276221,-0.012035613653087668,0.1313470601788197,0.0594731024370765
0,4,-0.047073950941035954,-0.0605607273023362,0.042734635404842514,-0.011935102840734652,0.11187062517205834,-0.06437124111159223,0.06390051042988179,0.13869395897977005,0.02790490926423922
0,5,-0.23510758258720887,-0.19743548651255732,-0.29103205789955616,0.10802960398713443,0.2305587698050733,-0.13672968111539552,-0.30447699764546776,0.27996600326498594,0.026669413655114202
0,6,-0.15840359536819498,-0.021435220007191946,-0.008391218656007653,-0.011751891842439213,0.0592346601743312,-0.12489280488261484,-0.007446862660508466,0.031528851344364825,0.0637113825016761
0,7,0.11335750508591308,0.0522280347706921,-0.030113111381926985,0.020221955521298914,-0.09571633054146465,0.083589854278181,-0.028049106129430665,-0.10379803275146028,-0.03249237452394582
0,8,0.23868486758413338,-0.19029028825336064,-0.14531644978147562,0.06936928595915542,0.3256056523322207,0.20192775005480654,-0.23014760038165136,0.35049666004047353,-0.04074834450775161
0,9,-0.12111317963639745,0.037383442589306475,-0.06761869262353722,0.04532537265425775,-0.05858483652963453,-0.09847935864257776,-0.08845027262063251,-0.04612175320586829,0.03291642196676441
0,10,0.12994075737555263,-0.05839203544632088,-0.23379047063555103,0.06416326122309271,0.07471815924587116,0.12264894429101977,-0.24639643666264122,0.16247398330402069,-0.12476470991781821
0,11,0.0795307513491855,-0.027258554040860333,0.055088246559551544,-0.02254587158834969,0.0881407004145169,0.07417738536364153,0.0874377207124743,0.10271242841627329,-0.057843270587907364
1,2,0.029049080197416095,0.2474434841323493,0.12052439517272323,0.13586727503300805,0.2010702340013878,0.002547485284472234,0.07758597720836992,0.19807110016633106,0.02010886198488057
1,3,-0.036274477951529036,0.11964022238385563,-0.007372220733537922,0.02171995012683157,0.09004082272755996,-0.07528039459988135,0.003699930701015343,0.10307178731612926,-0.07477554345643511
1,4,-0.02965740857817616,0.12014905374106158,0.028811031319948104,0.04898788692519826,0.11756886353659175,-0.035204051151639985,0.05342180731517547,0.09778927000703978,-0.07227645609039128
1,5,-0.15173988982339787,0.2300725588691909,-0.259843948581854,-0.2994384485489354,0.24795894720808642,-0.1067163982625287,-0.17896016594520556,0.2331377444306032,-0.2169878422420159
1,6,-0.11291834273775433,0.04859331693071432,0.007612696355016227,-0.01737999446216232,0.044618082991322985,-0.11603627453905435,-0.00014137154319012038,0.02052206795864547,-0.1405060717891227
1,7,0.06474116391045708,-0.09933709028636652,-0.03708388040669736,-0.025261991268867842,-0.08096587856794657,0.08155312715539614,-0.015797822512479853,-0.08739442048921038,0.10135766701288086
1,8,0.11133596849929586,0.3265778847691029,-0.10244932793520915,-0.23855532496598328,0.29179100285425774,0.22017216778221188,-0.12606059267751218,0.3060144543403777,0.19762769273744976
1,9,-0.08741455001308872,-0.06507620113198524,-0.08251294450953306,-0.06599077046374667,-0.0468333546643418,-0.07684970420703034,-0.06495071740908609,-0.0265718734878603,-0.11268459296125471
1,10,0.058159684677678396,0.090238558885163,-0.16016157641552442,-0.23125541666770427,0.15748121379329977,0.11973539230491761,-0.2068309407508953,0.08810976675334317,0.16967986057543516
1,11,0.050544458281810034,0.10278210096041203,0.06045319765958294,0.05566787897100229,0.06958950559275998,0.07727202741751525,0.0654789288276991,0.06748357759633881,0.08151770453886156
2,3,0.04555148216233801,0.31962799703304867,-0.03650969701707713,0.04545154421329355,0.1574396772312041,-0.1141162282932661,0.017150510753002047,0.05536964322753204,-0.19957393649222097
2,4,-0.0479419625412542,0.346417678341516,0.09736569683393817,0.1257255163182037,0.15997157924294764,-0.0832139708407428,-0.005252006181657502,0.013568673659861252,-0.13874363785476368
2,5,0.025467853534280438,0.690351405918174,-0.44019232285794885,-0.7515963510554518,0.4165939317194943,-0.14317047636997296,0.04163250984741022,0.19519844670723002,-0.5588368259130587
2,6,-0.014031050469436257,0.10041147412278682,-0.03244487189492583,-0.004148843524511475,0.08730140367936035,-0.1865475798316423,0.03110067823341183,0.045957200924722025,-0.38640537210904147
2,7,-0.03118895602660405,-0.2734752358316735,-0.08470091211947425,-0.06472265788565004,-0.13048163488151174,0.13207030864212282,-0.005631927354525362,-0.06347016859885643,0.26623922729334026
2,8,-0.036780540988511023,0.915394859776784,-0.19311578789985234,-0.5229255430458813,0.4970258077303991,0.2989605864777648,-0.001799292999797714,0.1196354377684635,0.5360759658345667
2,9,-0.028481495352920754,-0.15235338900913092,-0.13196114362578684,-0.2040393955660897,-0.06249109598563153,-0.13614128542923176,-0.007528582270793882,-0.0010183663916969454,-0.28635557895503294
2,10,0.02707033411112464,0.31374361745343227,-0.2596937748963858,-0.6283619054931713,0.18582328133754272,0.25756547572578614,-0.024944194001409667,0.06189386909675036,0.332755890332903
2,11,0.06164333887347525,0.24953849071669956,0.06124242861223682,0.20059181444770824,0.13317018186914983,0.13341499168207244,0.011748043717240093,-0.033097311835319485,0.20817129700008902
3,4,0.04058280678598983,0.16038053563450985,0.001717085215127476,0.06168530064476916,0.011021817719390016,-0.008409847847467821,-0.04129238194211884,-0.09799992860088134,-0.06751062985624448
3,5,0.10890723781098915,0.31002635233499576,0.02188897559664882,-0.3720515259159406,0.061039529718991625,-0.05025842530970809,0.2307571363529487,-0.2399427229819519,-0.25069676114274886
3,6,0.11672191567618655,0.06834546300267254,-0.02120987319351016,-0.004842313045574814,-0.0033511896469537858,-0.013941617596150816,-0.0008216634086837864,-0.014521668129358192,-0.17654180016011986
3,7,-0.09581767729210705,-0.14399437573304036,-0.03013369367134795,-0.022452460164861392,-0.02858100049852251,-0.02323700792463693,0.05024231889156593,0.0565524585623631,0.12135683781824261
3,8,-0.1642015284989821,0.4363475231985048,-0.008968456698729293,-0.239409837027339,0.04234672103641396,0.0013879819419724713,0.13465797764355708,-0.26806523029309787,0.2561577683832312
3,9,0.08060471855223222,-0.05681301158202886,-0.02484923254310094,-0.10533467293872587,-0.020170744809877454,0.012506023587870126,0.05184352496883064,0.06305351130295994,-0.14162698313303151
3,10,-0.11938299747299543,0.13990799561327938,-0.030732906500606026,-0.2995898604825364,0.010440511637924704,-0.001449844093036558,0.15507597454352404,-0.11850083154631143,0.16250440685860817
3,11,-0.0586755880902494,0.1104321804146022,-0.011489248115906063,0.09702418197874152,-0.004123814751234308,0.027867981950878883,-0.04314115708735147,-0.08919998708368197,0.10455258944747188
