site,Sx,Sy,Sz
106,2.9367951799819737e-16,0j,1.0019762797242038e-14
107,3.805576730478433e-15,0j,-2.3299586001876427e-14
108,5.245803791353865e-15,0j,-6.161737786669619e-15
109,-7.806255641895632e-16,0j,1.1674146892237669e-14
110,-2.284105935366843e-16,0j,-1.3600232051658168e-14
111,4.1935688408210845e-15,0j,-5.412337245047638e-15
112,2.2565487110446595e-20,0j,1.715294573045867e-14
113,8.711710067173819e-16,0j,8.829308811852954e-15
114,-2.0246205021745914e-17,0j,7.827072323607354e-15
115,-1.1894958217191498e-14,0j,-9.137655909707831e-16
116,-1.4271975765642927e-16,0j,7.077671781985373e-15
117,1.2097055951825255e-15,0j,2.5569390355029142e-14
118,2.5328853353269435e-16,0j,1.1102230246251565e-16
119,-2.135056996650786e-14,0j,-1.915134717478395e-15
120,-3.767962538389711e-17,0j,-2.0539125955565396e-14
121,-3.5847518529974476e-15,0j,2.2114512369768302e-14
122,-5.842870327851606e-17,0j,-1.7985612998927536e-14
123,-1.792264795776044e-14,0j,1.5220880518430555e-14
124,-5.2354682953314677e-17,0j,-2.1010970741031088e-14
125,-1.5704234787583538e-14,0j,2.4230400672009544e-14
126,6.106226635438361e-15,0j,-9.2148511043888e-15
127,2.0344836926255994e-14,0j,-8.854028621385623e-15
128,1.2147566705897073e-14,0j,-3.391731340229853e-14
129,9.711867828865356e-17,0j,-5.551115123125783e-16
130,3.312311383742013e-15,0j,-1.4629790434650403e-14
131,-3.724211963175046e-17,0j,5.467848396278896e-15
132,4.1106441167615415e-15,0j,-1.8100755269645497e-14
133,3.291135928644743e-17,0j,-4.996003610813204e-16
134,1.6092093061550644e-16,0j,1.4530328437852014e-14
135,-1.7939903051217415e-17,0j,7.244205235679146e-15
136,-1.7319479184152442e-14,0j,7.216449660063518e-16
137,6.494804694057166e-15,0j,7.827072323607354e-15
138,-2.3531523951625388e-14,0j,-2.3070033296906933e-14
139,3.966972929347109e-16,0j,-5.689893001203927e-15
140,1.4082024392056414e-14,0j,7.35013178793098e-15
141,-2.090098266579717e-16,0j,1.4210854715202004e-14
142,-2.286582381771929e-15,0j,-1.5110742518364972e-14
143,3.0428004268885634e-19,0j,2.1399548799649892e-14
144,3.206895113908514e-15,0j,-1.1185496973098452e-14
145,-2.893655659629414e-16,0j,3.802513859341161e-15
146,-1.337607325249679e-14,0j,-1.7867651802561113e-16
147,9.960726294884308e-17,0j,5.9396931817445875e-15
148,-1.007012398815399e-14,0j,3.2695017754356265e-14
149,4.512580731991494e-16,0j,-1.4099832412739488e-14
150,2.3355883199682737e-15,0j,-4.640385298237959e-15
151,8.409939411535561e-15,0j,1.1726730697603216e-15
152,2.8590819981839802e-15,0j,-1.5487611193520934e-14
153,3.562568960081364e-16,0j,1.5543122344752192e-15
154,8.621331730115922e-15,0j,-2.3642993487484054e-15
155,-1.9743490967550487e-16,0j,-3.858025010572419e-15
156,-6.616523229315935e-15,0j,9.191499358738269e-15
157,1.505649768138986e-16,0j,-1.3988810110276972e-14
