site,Sx,Sy,Sz
0,0.0,0j,1.495912839289773e-13
1,0.0,0j,-1.0550327266036414e-13
2,0.0,0j,-9.082534347436915e-16
3,0.0,0j,6.876921631549711e-16
4,0.0,0j,-2.2037875005548007e-16
5,0.0,0j,2.792216110258404e-16
6,0.0,0j,4.735181847752586e-16
7,0.0,0j,-2.828212507506293e-16
8,0.0,0j,1.0374813738449254e-15
9,0.0,0j,-1.0927590546545937e-15
10,0.0,0j,1.057031956079388e-15
11,0.0,0j,-7.470804589364915e-16
12,0.0,0j,7.213168402286585e-16
13,0.0,0j,-4.444173356277559e-16
14,0.0,0j,-2.2870678150193862e-14
15,0.0,0j,3.489561359983381e-14
