site1,site2,SxSx,SySy,SzSz,SySz,SzSy,SzSx,SxSz,SxSy,SySx
0,1,1.921611976063563e-05,1.9216119760884136e-05,-0.04030539885443743,0.0,0.0,3.20495823802187e-15,2.613602502890082e-13,0.0,0.0
0,2,-0.21059084566110275,-0.21059084566110275,-0.2105909698170508,0.0,0.0,-2.9577375902638766e-17,-2.822261814131336e-17,0.0,0.0
0,3,-1.1069622675605168e-05,-1.1069622675728713e-05,0.023196348794920253,0.0,0.0,-1.7329180516896199e-15,-1.5054270100688926e-13,0.0,0.0
0,4,0.0684203690880268,0.06842036908802675,0.06842043736271115,0.0,0.0,-8.58804898453179e-16,-1.787705856219366e-17,0.0,0.0
0,5,2.115850149847548e-05,2.1158501498388945e-05,-0.044554708640048735,0.0,0.0,4.11938035444162e-15,2.8897697155892115e-13,0.0,0.0
0,6,-0.06557297267457964,-0.06557297267457973,-0.06557297784151576,0.0,0.0,-5.448317346253324e-17,7.223598603753008e-17,0.0,0.0
0,7,-1.0846892129927535e-05,-1.0846892129889366e-05,0.023196334791990736,0.0,0.0,-1.784895595559741e-15,-1.5103151296530402e-13,0.0,0.0
0,8,0.039215846456421836,0.039215846456421975,0.03921608040232581,0.0,0.0,4.479638164610986e-17,3.4501438532565486e-17,0.0,0.0
0,9,1.887501309123082e-05,1.887501309140276e-05,-0.04030564216338818,0.0,0.0,3.3407380737336427e-15,2.6146833237334585e-13,0.0,0.0
0,10,-0.034373442731035646,-0.03437344273103572,-0.03437375617435432,0.0,0.0,-7.719013507441084e-18,-2.7232966201348886e-17,0.0,0.0
0,11,0.015999368042321525,0.015999368042321594,0.01601116241620089,0.0,0.0,-3.0404123868533557e-16,-5.59235748618187e-16,0.0,0.0
0,12,0.027271232723957116,0.0272712327239572,0.027274217797951056,0.0,0.0,-3.856524026432195e-16,-4.06757501186502e-16,0.0,0.0
0,13,-0.01183482409315904,-0.011834824093159124,-0.01184463824032641,0.0,0.0,1.2894972023315406e-16,8.804953777536531e-17,0.0,0.0
0,14,-0.02045495036542987,-0.020454950365429995,-0.020466009210152646,0.0,0.0,6.818106497690379e-17,7.166711962218568e-17,0.0,0.0
