node1,node2,fidelity,entanglement
33,34,0.9185255432921674,3.7674566407558
32,33,0.9185105684891769,3.979045158429967
31,32,0.9185075844458651,3.8185128824607215
30,31,0.9185075844458664,3.1217126963457362
29,30,0.9185075844458664,3.1217719531941963
28,29,0.9185075844458651,3.121999724481933
27,28,0.9185075844458677,3.122761765618768
26,27,0.9185075844458656,3.1232370234727074
25,26,0.9185075844458642,2.7779826493516495
24,25,0.9185075844458647,1.8473010336171927
34,35,0.9185364594840929,3.441598452114201
35,36,0.9185355211658821,3.205735695292752
36,37,0.9185354869220836,3.112753928249447
37,38,0.9185354854259824,3.0810338519704707
38,39,0.918535485425982,3.0705162461975544
39,40,0.9185354854259825,2.30585086176344
40,41,0.9185354854259824,1.5725698261207317
41,42,0.9185354854259824,0.893945412905939
42,43,0.9185354854259824,0.38724596860612126
43,44,0.9185354854259825,0.13769147597647763
44,45,0.9185354854259813,0.042729268185430214
0,24,0.0,0.0
1,24,0.0,0.0
2,25,0.0,0.0
3,26,0.0,0.0
4,27,0.0,0.0
5,28,0.0,0.0
6,29,0.0,0.0
7,30,0.0,0.0
8,31,0.0,0.0
9,32,0.0,0.0
10,33,0.0,0.0
11,34,0.0,0.0
12,35,0.0,0.0
13,36,0.0,0.0
14,37,0.0,0.0
15,38,0.0,0.0
16,39,0.0,0.0
17,40,0.0,0.0
18,41,0.0,0.0
19,42,0.0,0.0
20,43,0.0,0.0
21,44,0.0,0.0
22,45,0.0,0.0
23,45,0.0,0.0
