site,Sx,Sy,Sz
0,-0.03479209402020083,0j,0.12274716663607198
1,0.022026648612890706,0j,-0.07771043347235349
2,-0.04143298520912639,0j,0.14617635652346267
3,0.02901031152330611,0j,-0.10234892848496696
4,-0.04522959674543442,0j,0.15957087392816532
5,0.03247721833281034,0j,-0.11458024136917949
6,-0.04701483220233594,0j,0.16586921843095576
7,0.03355956379920989,0j,-0.11839877667333691
8,-0.04701483220254304,0j,0.16586921843168428
9,0.03247721833281271,0j,-0.11458024136918056
10,-0.04522959674543602,0j,0.15957087392816705
11,0.029010311523305743,0j,-0.10234892848496743
12,-0.041432985209123405,0j,0.1461763565234636
13,0.02202664861288731,0j,-0.07771043347235533
14,-0.03479209402019618,0j,0.12274716663607434
