site1,site2,SxSx,SySy,SzSz,SySz,SzSy,SzSx,SxSz,SxSy,SySx
0,1,-0.21811904112408795,-0.21811904112408795,-0.2181190411240878,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.06629429850525148,0.06629429850525148,0.06629429850525154,0.0,0.0,0.0,0.0,0.0,0.0
0,3,-0.07289453802350608,-0.07289453802350608,-0.0728945380235061,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.03682083887840219,0.03682083887840219,0.03682083887840238,0.0,0.0,0.0,0.0,0.0,0.0
0,5,-0.04240099258060469,-0.04240099258060469,-0.042400992580604716,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.02479240248539316,0.02479240248539316,0.02479240248539317,0.0,0.0,0.0,0.0,0.0,0.0
0,7,-0.029345154886744496,-0.029345154886744496,-0.029345154886744572,0.0,0.0,0.0,0.0,0.0,0.0
0,8,0.018209423029330343,0.018209423029330343,0.018209423029330398,0.0,0.0,0.0,0.0,0.0,0.0
0,9,-0.02216326774976305,-0.02216326774976305,-0.0221632677497631,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0.013907138244780022,0.013907138244780022,0.013907138244780003,0.0,0.0,0.0,0.0,0.0,0.0
0,11,-0.017573825559103376,-0.017573825559103376,-0.017573825559103355,0.0,0.0,0.0,0.0,0.0,0.0
0,12,0.010592565292050288,0.010592565292050288,0.010592565292050302,0.0,0.0,0.0,0.0,0.0,0.0
0,13,-0.014219257039012553,-0.014219257039012553,-0.014219257039012593,0.0,0.0,0.0,0.0,0.0,0.0
0,14,0.007309400467874242,0.007309400467874242,0.007309400467874238,0.0,0.0,0.0,0.0,0.0,0.0
0,15,-0.011208691616513874,-0.011208691616513874,-0.011208691616513888,0.0,0.0,0.0,0.0,0.0,0.0
1,2,-0.09770080637988471,-0.09770080637988471,-0.09770080637988472,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.055301773770864426,0.055301773770864426,0.05530177377086444,0.0,0.0,0.0,0.0,0.0,0.0
1,4,-0.030206822451486197,-0.030206822451486197,-0.030206822451486325,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.02949889375709591,0.02949889375709591,0.029498893757096,0.0,0.0,0.0,0.0,0.0,0.0
1,6,-0.01783245572134208,-0.01783245572134208,-0.01783245572134212,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.019749152130527456,0.019749152130527456,0.019749152130527484,0.0,0.0,0.0,0.0,0.0,0.0
1,8,-0.012458114199214759,-0.012458114199214759,-0.012458114199214818,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.014676881584640263,0.014676881584640263,0.014676881584640297,0.0,0.0,0.0,0.0,0.0,0.0
1,10,-0.009285221013893435,-0.009285221013893435,-0.009285221013893435,0.0,0.0,0.0,0.0,0.0,0.0
1,11,0.011536564702336084,0.011536564702336084,0.011536564702336088,0.0,0.0,0.0,0.0,0.0,0.0
1,12,-0.006980546168338582,-0.006980546168338582,-0.006980546168338594,0.0,0.0,0.0,0.0,0.0,0.0
1,13,0.009291183326502016,0.009291183326502016,0.009291183326502028,0.0,0.0,0.0,0.0,0.0,0.0
1,14,-0.004782421408587566,-0.004782421408587566,-0.004782421408587577,0.0,0.0,0.0,0.0,0.0,0.0
1,15,0.007309400456976075,0.007309400456976075,0.007309400456976088,0.0,0.0,0.0,0.0,0.0,0.0
2,3,-0.1895791246599332,-0.1895791246599332,-0.18957912465993326,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.06242008704186015,0.06242008704186015,0.062420087041860195,0.0,0.0,0.0,0.0,0.0,0.0
2,5,-0.06694984893494307,-0.06694984893494307,-0.06694984893494317,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.03552034299299961,0.03552034299299961,0.03552034299299961,0.0,0.0,0.0,0.0,0.0,0.0
2,7,-0.04095370335898141,-0.04095370335898141,-0.04095370335898131,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0244527511416303,0.0244527511416303,0.024452751141630327,0.0,0.0,0.0,0.0,0.0,0.0
