site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
0,1,0.01029879130974395,-0.007415996092680954,-0.13690621715180007,0.030296444793737165,0.05017230701325852,0.013109720305876399,-0.01876765563939904,-0.017577822202379516,0.13202138554635826
0,2,-0.04638293290134005,-0.04683371925517279,-0.28385780746979095,-0.07379279925206139,0.12685208620477825,-0.056866528960992146,0.14233117467613104,-0.0250180568153961,0.24896964007290517
0,3,0.005938159627026002,0.007989798425688387,-0.1526962567233218,0.01310931372633721,0.05272722003468768,-0.02562544577088905,0.024710962817421488,0.004646656209413978,0.14124516462258804
0,4,-0.08781147644271609,-0.05238489941506859,0.027066188275509353,0.10123005348150894,0.01145681602961994,-0.018425468805413993,-0.10097615157585993,0.10135978405543733,-0.031168122168662393
0,5,-0.3708137509731574,-0.0386453555050703,0.16174399948964013,0.03149574565959544,-0.06618553313721216,-0.15234765827622482,0.020647527223311445,0.4200134448235524,-0.216529660328666
0,6,0.018820556841089565,-0.03794490131187557,-0.13445319030261696,0.02670382685078954,0.0466375601095093,0.0019099443784907023,-0.0029938651984387416,-0.03812784003531593,0.13434326273914377
0,7,0.06491788119618849,-0.016738858473583352,-0.09330603346745894,0.11628424767992493,0.03176814021273324,0.06663424904558433,-0.12335302058933145,-0.037210801821886755,0.043148035291591294
0,8,-0.053430730670193126,0.0071831207280984855,-0.38879985704541187,0.17719389737747876,0.15715675546240948,-0.09522991480108348,-0.1282630538040157,0.06773771241906323,0.37603536767924156
0,9,-0.01132011001343645,0.041133162670184825,0.040502457391163926,-0.1325268866032102,-0.019745792346159877,-0.017092628719183697,0.12095479794915429,0.008780654229159239,-0.038956636704498976
0,10,-0.2789296165014105,-0.039513280553689106,0.03427532058327598,0.027766906500131548,-0.034763605326543864,-0.10417228352440842,-0.013411574752138514,0.29704253132088226,-0.039912086314412315
0,11,-0.018930279598669143,-0.027734986142385197,-0.1391257437044793,0.025425252770867754,0.046065689008337185,0.05623120880935985,-0.06932769969976135,-0.0027936758926147606,0.11456948988745888
1,2,-0.0063835484704855925,0.000686040705162011,0.3778906313313995,0.1347576374263146,-0.07721732689403789,-0.0044002254781095726,-0.013148687352828535,-0.03123456881489723,0.055523924288711474
1,3,-0.02164401954392471,0.023915547616823442,0.21378896315592433,0.01080079999863025,-0.042682995348387334,0.0026439524228150033,0.002875847432651777,-0.0016082743962345656,0.026495559849489467
1,4,0.005123750418592637,0.02776277025883028,-0.04005993809473783,-0.14889098296087563,-0.00955402020554813,0.03008432700717589,-0.04096685287420722,-0.13877110465291184,0.015106809531138113
1,5,-0.09279145867417143,-0.008206863793138147,-0.29588335324546744,-0.02126230848374578,0.005812884786678475,0.13411686905856623,-0.07569997282779861,-0.5726870253265727,0.009198196669237903
1,6,0.015464945928048384,0.0016330619755591247,0.19424997126400817,-0.031566009346961514,-0.03962631058396339,-0.0067564029350002264,-0.031769703697512926,0.03548582210330998,0.022898482893878764
1,7,0.004790409633896104,0.035157977882632904,0.09471379610636353,-0.16043644235505006,-0.01256680983833406,-0.012860572774349655,-0.02139393380386253,0.08500237759295767,0.008719227312702367
1,8,0.04457580867676712,-0.021750703457549786,0.557045816555247,-0.22556463088962841,-0.12767867631266502,0.03133691741622935,0.03611378827043611,-0.11297576540056256,0.1203661347657801
1,9,-0.039751105706820444,-0.04541266761423286,-0.06289292469006075,0.18498504715103636,-0.004596666467557034,-0.00046031577850356336,0.028649095185591417,-0.015134119285320392,0.0009766152965901907
1,10,-0.059816659427088255,-0.03946076961563301,-0.056671444805010435,-0.0479508276691344,0.016275357696428214,0.08062148700833661,-0.001370963793353754,-0.42320300546019274,0.058052978592424254
1,11,0.05246335253442753,-0.027692598232755383,0.1842638449409601,-0.07576759048839181,-0.044638667910202615,-0.0006935078959219301,0.005579661056429899,-0.0031195608971854045,0.030165452340005023
2,3,-0.022367577852534053,0.04297890463678046,0.40989839836147834,0.002644266175284307,0.13908324501227096,0.005518764273296357,-0.0014407938404446222,-0.01431260542599191,-0.03838759995325761
