site1,site2,SxSx,SySy,SzSz,SxSy,SySx,SySz,SzSy,SzSx,SxSz
0,1,0.03142045398006797,0.03142045398006797,0.18361234288485712,0.0,0.0,0.0,0.0,-1.0607058820733457e-18,-9.954160554767254e-18
0,2,0.03142045398006797,0.03142045398006797,0.18361234288485712,0.0,0.0,0.0,0.0,-1.0607058820733457e-18,-9.954160554767254e-18
0,3,-0.0873127202971946,-0.08731272029719461,-0.19576135973462833,0.0,0.0,0.0,0.0,2.2185566635689088e-17,-2.2121145967632516e-18
0,4,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
0,5,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
0,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
0,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
0,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
0,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
0,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
0,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
1,2,-0.12453610926033869,-0.12453610926033869,-0.22684876950945457,0.0,0.0,0.0,0.0,8.830397706155521e-19,7.244985006097076e-17
1,3,-0.0873127202971946,-0.08731272029719461,-0.19576135973462833,0.0,0.0,0.0,0.0,2.2185566635689088e-17,-2.2121145967632516e-18
1,4,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
1,5,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
1,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
1,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
1,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
1,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
1,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
1,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
2,3,-0.0873127202971946,-0.08731272029719461,-0.19576135973462833,0.0,0.0,0.0,0.0,2.2185566635689088e-17,-2.2121145967632516e-18
2,4,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
2,5,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
2,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
2,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
2,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
2,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
2,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
2,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
3,4,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
3,5,-0.017010845055968473,-0.017010845055968477,-0.13440518581230862,0.0,0.0,0.0,0.0,9.758537361557639e-18,1.589822214001237e-17
3,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
3,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
3,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
3,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
3,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
3,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
4,5,-0.156820118459864,-0.156820118459864,-0.21460134946125617,0.0,0.0,0.0,0.0,-1.6021162758468014e-17,-3.789289570031299e-19
4,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
4,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
4,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
4,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
4,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
4,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
5,6,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
5,7,-0.009300187889922344,-0.009300187889922354,-0.09454047541821754,0.0,0.0,0.0,0.0,3.3261236433370877e-18,1.0930345031205537e-17
5,8,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
5,9,-0.006544910403784449,-0.006544910403784453,-0.06604924979185905,0.0,0.0,0.0,0.0,-4.700498582144498e-18,4.4779601364714626e-17
5,10,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
5,11,-0.004778670186746841,-0.0047786701867468424,-0.04620318295483905,0.0,0.0,0.0,0.0,1.2621217014304477e-18,-5.388549590688224e-18
6,7,-0.17014900284760637,-0.17014900284760637,-0.20030537420743771,0.0,0.0,0.0,0.0,7.80968997599581e-18,1.8125964858605816e-18
6,8,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
6,9,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
6,10,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
6,11,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
7,8,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
7,9,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
7,10,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
7,11,0.03076691377837379,0.030766913778373726,0.047054735032014655,0.0,0.0,0.0,0.0,-1.2939995258314109e-17,1.676052982204187e-17
8,9,-0.18711913392685461,-0.18711913392685461,-0.1969827608424054,0.0,0.0,0.0,0.0,0.0,0.0
8,10,0.06519093668451431,0.06519093668451431,0.06701726943060554,0.0,0.0,0.0,0.0,-2.2468895352992914e-17,6.964900480144605e-18
8,11,0.06519093668451431,0.06519093668451431,0.06701726943060554,0.0,0.0,0.0,0.0,-2.2468895352992914e-17,6.964900480144605e-18
9,10,0.06519093668451431,0.06519093668451431,0.06701726943060554,0.0,0.0,0.0,0.0,-2.2468895352992914e-17,6.964900480144605e-18
9,11,0.06519093668451431,0.06519093668451431,0.06701726943060554,0.0,0.0,0.0,0.0,-2.2468895352992914e-17,6.964900480144605e-18
10,11,-0.21898431663529475,-0.21898431663529475,-0.2198487068858734,0.0,0.0,0.0,0.0,6.29671381939443e-17,-5.869470544794063e-17
