node1,node2,energy,entanglement,error
0,16,0.0,1.0,0.0
1,16,0.0,1.0,0.0
2,17,0.0,0.9999999999999999,0.0
3,17,0.0,0.9999999999999998,0.0
4,19,0.0,0.9999999999999999,0.0
5,19,0.0,1.0,0.0
6,21,0.0,1.0,0.0
7,21,0.0,0.9999999999999999,0.0
8,23,0.0,0.9999999999999999,0.0
9,23,0.0,0.9999999999999999,0.0
10,25,0.0,0.9999999999999999,0.0
11,25,0.0,1.0,0.0
12,27,0.0,0.9999999999999998,0.0
13,27,0.0,0.9999999999999999,0.0
14,29,0.0,0.9999999999999999,0.0
15,29,0.0,1.0,0.0
16,18,-6.911737145575106,0.6066203674381023,-9.08162434143378e-14
17,18,-6.9117371455751115,0.9701260441665513,3.419486915845482e-14
18,20,-6.911737145575105,0.7656290684832863,-1.1102230246251565e-15
19,20,-6.911737145575114,1.0588382315061668,1.461053500406706e-13
20,22,-6.911737145575172,0.8343418629923073,4.39870362356487e-12
21,22,-6.911737145575121,1.0890501620549728,3.352873534367973e-14
22,24,-6.911737145575172,0.8545184207457386,1.6908696665041134e-13
28,29,-6.911737145575107,0.6066203674381125,6.150635556423367e-14
27,28,-6.911737145575108,0.9701260441665625,2.3239188351453777e-12
26,28,-6.911737145575107,0.7656290684833034,1.1991518888976316e-12
25,26,-6.91173714557515,1.0588382315061553,1.9058088440715437e-12
24,26,-6.911737145575239,0.8343418629905506,7.47465422890059e-11
23,24,-6.91173714557516,1.0890501620549895,1.5631940186722204e-13
