node1,node2,energy,entanglement,error
0,15,0.0,0.9525100596922501,0.0
1,15,0.0,0.9810927286443972,0.0
2,16,0.0,0.9323281278917182,0.0
3,17,0.0,0.9670953940407865,0.0
4,18,0.0,0.9191032663158047,0.0
5,19,0.0,0.95867932878654,0.0
6,20,0.0,0.9124517822810778,0.0
7,21,0.0,0.9558499282617127,0.0
8,22,0.0,0.9124517822810798,0.0
9,23,0.0,0.9586793287865422,0.0
10,24,0.0,0.9191032663158046,0.0
11,25,0.0,0.9670953940407856,0.0
12,26,0.0,0.9323281278917215,0.0
13,27,0.0,0.9810927286443982,0.0
14,27,0.0,0.9525100596922527,0.0
15,16,-6.416920491793643,0.5897031796958212,-1.3322676295501878e-15
16,17,-6.416920491793629,0.9479918592037365,1.2212453270876722e-15
17,18,-6.416920491793634,0.7483837152610835,0.0
18,19,-6.4169204917936185,0.926711542392253,-2.6645352591003757e-15
19,20,-6.416920491793642,0.8336666753418944,-1.3100631690576847e-14
20,21,-6.4169204917936264,0.8891879089354825,-1.354472090042691e-14
26,27,-6.416920491793615,0.5897031796958261,2.220446049250313e-16
25,26,-6.416920491793613,0.9479918592037425,-1.7763568394002505e-15
24,25,-6.416920491793617,0.7483837152610843,-1.5543122344752192e-15
23,24,-6.416920491793611,0.9267115423922541,-8.881784197001252e-16
22,23,-6.416920491793634,0.8336666753418996,-7.549516567451064e-15
21,22,-6.416920491793638,0.889187908935479,-9.547918011776346e-15
