site,Sx,Sy,Sz
0,6.816559469564027e-16,0.0,-3.0808688933348094e-15
1,-4.4125551199231374e-16,0.0,2.192690473634684e-15
2,1.9707040474371526e-15,0.0,3.608224830031759e-16
3,-1.5898482977137136e-15,0.0,-1.942890293094024e-16
4,-2.6132696817044707e-16,0.0,-6.855627177060342e-15
5,3.4415889460742747e-16,0.0,4.274358644806853e-15
6,-1.4509812847815206e-15,0.0,-5.245803791353865e-15
7,9.86337329553852e-16,0.0,5.9396931817445875e-15
8,6.756316737749027e-15,0.0,-2.0122792321330962e-14
9,-7.315041067434423e-15,0.0,2.1871393585115584e-14
10,9.8398417821967e-16,0.0,-7.216449660063518e-16
11,-1.2881758089036085e-15,0.0,4.996003610813204e-16
12,9.460899012029615e-15,0.0,8.992806499463768e-15
13,-8.800205769862513e-15,0.0,-1.3905543383430086e-14
14,-4.496987634155984e-15,0.0,1.2073675392798577e-14
15,7.616031529866239e-15,0.0,-1.9734214262712158e-14
