site,Sx,Sy,Sz
0,-1.6900388823634562e-16,0.0,-2.958744360626042e-14
1,4.9233292579757134e-17,0.0,2.9004576518332215e-14
2,6.597772290066224e-17,0.0,-3.042011087472929e-14
3,1.553617521126458e-16,0.0,3.605449272470196e-14
4,1.2232109609212823e-16,0.0,-2.7033930649622562e-14
5,-2.2771474069810097e-16,0.0,2.6867397195928788e-14
6,1.679942514029513e-16,0.0,-1.990074771640593e-14
7,-1.0411667603862966e-16,0.0,1.9539925233402755e-14
8,5.031906807299982e-17,0.0,-1.4210854715202004e-14
9,4.8197866355126866e-17,0.0,1.5737411374061594e-14
10,2.614443941589469e-17,0.0,-7.299716386910404e-15
11,-5.263321734192925e-18,0.0,1.071365218763276e-14
