site,Sx,Sy,Sz
0,0.0,0j,0.0999263607725458
1,0.0,0j,-0.04978146743602635
2,0.0,0j,0.1175086290020923
3,0.0,0j,-0.06714569759962662
4,0.0,0j,0.1293348398014706
5,0.0,0j,-0.0789045404595997
6,0.0,0j,0.1389170431540125
7,0.0,0j,-4.3842354054624785e-07
8,0.0,0j,-2.1277834774419845e-07
9,0.0,0j,-0.00022599243004827263
10,0.0,0j,0.000150482589604789
11,0.0,0j,-0.00042345546584858333
12,0.0,0j,0.0002695895914030152
13,0.0,0j,-0.0005102535461731506
14,0.0,0j,0.00021393363449887583
15,0.0,0j,-0.00044477874140355715
