site1,site2,SxSx,SySy,SzSz,SxSy,SySx,SySz,SzSy,SzSx,SxSz
4,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,6,-0.18890312411131524,0.03874116542859664,-0.015625000000000017,0.0006053307098218225,0.0,-3.7833169363863925e-05,0.0,-1.6645631925359396e-21,3.814697265625004e-06
5,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
5,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
5,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
5,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,7,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
6,8,-2.5388690187129773e-73,7.245573811887501e-74,-5.5820166774361226e-73,0.0,1.128559035651062e-75,0.0,-7.061661080480278e-77,1.3614212801161176e-76,-5.9430585645783554e-83
6,9,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,10,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,11,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,12,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,13,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,14,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
6,15,-7.625808126450654e-262,-2.437075646901345e-264,-1.2389120422660657e-262,-3.807897597773007e-266,0.0,2.401133463557472e-267,0.0,1.2356858108356845e-271,3.024449330337744e-266
7,8,-0.21056127908286407,0.054550352000622394,-0.015625,0.0008523492500097249,0.0,-5.327182812560783e-05,0.0,-7.678316375077619e-21,3.814697265625e-06
7,9,9.1283896851211e-96,7.607426887235993e-97,-9.871874754003264e-97,1.0709568040779557e-98,0.0,-5.847725544446891e-100,0.0,1.8968814224401268e-101,1.6886454440028268e-100
7,10,9.1283896851211e-96,7.607426887235993e-97,-9.871874754003264e-97,1.0709568040779557e-98,0.0,-5.847725544446891e-100,0.0,1.8968814224401268e-101,1.6886454440028268e-100
7,11,-1.4350814849734886e-77,-3.6424106884581435e-79,-1.6254728611903752e-79,0.0,-8.445465283997009e-83,0.0,4.851910238936176e-85,-2.0877593765468585e-86,-3.8531964015484167e-91
7,12,9.60279128297188e-94,8.18679669634608e-96,-5.259344193292335e-96,0.0,2.546941812300106e-100,0.0,-9.671529792058817e-103,-1.7460451596820643e-103,-8.783206681603378e-111
7,13,-1.3607301990376957e-120,5.498277276986375e-123,1.9095797508481587e-124,0.0,-2.6384568124999913e-128,0.0,-8.3602196672667e-132,4.687539958480055e-134,-5.449799975282137e-144
7,14,-1.353813788305273e-246,-2.1818715762089316e-248,-1.5795262956558268e-247,0.0,-2.8875947311885795e-250,0.0,1.6158682686941638e-251,2.4838493247531247e-251,4.824012705839808e-254
7,15,-1.353813788305273e-246,-2.1818715762089316e-248,-1.5795262956558268e-247,0.0,-2.8875947311885795e-250,0.0,1.6158682686941638e-251,2.4838493247531247e-251,4.824012705839808e-254
8,9,9.1283896851211e-96,7.607426887235993e-97,-9.871874754003264e-97,1.0709568040779557e-98,0.0,-5.847725544446891e-100,0.0,1.8968814224401268e-101,1.6886454440028268e-100
8,10,9.1283896851211e-96,7.607426887235993e-97,-9.871874754003264e-97,1.0709568040779557e-98,0.0,-5.847725544446891e-100,0.0,1.8968814224401268e-101,1.6886454440028268e-100
8,11,-1.4350814849734886e-77,-3.6424106884581435e-79,-1.6254728611903752e-79,0.0,-8.445465283997009e-83,0.0,4.851910238936176e-85,-2.0877593765468585e-86,-3.8531964015484167e-91
8,12,9.60279128297188e-94,8.18679669634608e-96,-5.259344193292335e-96,0.0,2.546941812300106e-100,0.0,-9.671529792058817e-103,-1.7460451596820643e-103,-8.783206681603378e-111
8,13,-1.3607301990376957e-120,5.498277276986375e-123,1.9095797508481587e-124,0.0,-2.6384568124999913e-128,0.0,-8.3602196672667e-132,4.687539958480055e-134,-5.449799975282137e-144
8,14,-1.353813788305273e-246,-2.1818715762089316e-248,-1.5795262956558268e-247,0.0,-2.8875947311885795e-250,0.0,1.6158682686941638e-251,2.4838493247531247e-251,4.824012705839808e-254
8,15,-1.353813788305273e-246,-2.1818715762089316e-248,-1.5795262956558268e-247,0.0,-2.8875947311885795e-250,0.0,1.6158682686941638e-251,2.4838493247531247e-251,4.824012705839808e-254
9,10,-0.18896414681860585,0.03777484722140852,-0.015625000000000003,0.0005902319878345081,0.0,-3.688949923965674e-05,0.0,3.6336235562077664e-20,3.814697265625001e-06
9,11,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
9,12,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
9,13,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
9,14,-1.2912412651036114e-50,1.218603858799322e-51,-2.672764710092247e-51,1.9040685293739424e-53,0.0,-1.1900428308587089e-54,0.0,1.1871004399150103e-68,6.525304467998684e-55
